step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
164	3.1483786e-03	3.1146248e-04	3.7706114e-03	1.7937483e-09	4.8770537e-20	8.5078649e-22	-1.6597633e-20	1.7397458e-09
165	3.1770318e-03	3.1146248e-04	3.7555000e-03	1.8213725e-09	-4.0041317e-19	-6.0314579e-22	-2.6305198e-19	1.7371959e-09
166	3.2056918e-03	3.1146248e-04	3.7405668e-03	1.8433852e-09	-8.3909557e-20	-2.4015268e-22	4.8694806e-20	1.7351843e-09
167	3.2343590e-03	3.1146248e-04	3.7258126e-03	1.8605051e-09	1.4012694e-18	-3.2505753e-21	2.5314862e-19	1.7336554e-09
168	3.2630335e-03	3.1146248e-04	3.7112353e-03	1.8729068e-09	-2.4193417e-19	5.6206339e-23	1.6753512e-19	1.7326535e-09
169	3.2917156e-03	3.1146248e-04	3.6968322e-03	1.8805384e-09	-1.3712296e-18	-1.2811594e-22	-1.5981691e-19	1.7321905e-09
170	3.3204056e-03	3.1146248e-04	3.6826006e-03	1.8843866e-09	1.2726788e-18	1.3487549e-21	-6.4421537e-20	1.7320829e-09
171	3.3491036e-03	3.1146248e-04	3.6685373e-03	1.8870037e-09	-3.5926619e-19	2.0736688e-21	1.4719513e-19	1.7322367e-09
172	3.3778099e-03	3.1146248e-04	3.6546393e-03	1.8891674e-09	-6.6360242e-19	-3.1160006e-22	1.9053831e-19	1.7327681e-09
173	3.4065246e-03	3.1146248e-04	3.6409038e-03	1.8887343e-09	4.4751764e-19	7.3367762e-22	-1.0896378e-19	1.7336419e-09
174	3.4352479e-03	3.1146248e-04	3.6273276e-03	1.8840913e-09	4.6087147e-19	7.5550380e-22	-2.4067831e-19	1.7347836e-09
175	3.4639801e-03	3.1146248e-04	3.6139079e-03	1.8788214e-09	-7.1590705e-20	-3.1948867e-23	-3.0573093e-20	1.7361901e-09
176	3.4927211e-03	3.1146248e-04	3.6006418e-03	1.8721875e-09	3.3601688e-19	1.6567312e-22	2.1021565e-19	1.7380078e-09
177	3.5214712e-03	3.1146248e-04	3.5875266e-03	1.8660402e-09	2.9953995e-19	-1.7807919e-21	-2.5906192e-20	1.7398255e-09
178	3.5502305e-03	3.1146248e-04	3.5745595e-03	1.8596313e-09	-5.2176838e-19	1.6671682e-21	2.4360025e-20	1.7418203e-09
179	3.5789992e-03	3.1146248e-04	3.5617378e-03	1.8543656e-09	-1.3345759e-18	-6.9753177e-22	-3.2330675e-20	1.7439937e-09
